number,match_id,match_date,stage_label,home_team_name,away_team_name,match,predicted_score,predicted_sign,predicted_result,probability_home,probability_draw,probability_away,actual_score_90,actual_sign,actual_result_90,sign_correct,exact_score,after_90_note,evaluation
1,WC-2026-001,2026-06-11,Grupos,Mexico,South Africa,Mexico — South Africa,0–0,X,Empate,0.3126677615538387,0.4167193869947652,0.2706128514513959,2–0,1,Gana Mexico,False,False,,Signo fallado
2,WC-2026-002,2026-06-11,Grupos,Czech Republic,South Korea,Czech Republic — South Korea,0–0,2,Gana South Korea,0.2953063781177111,0.3489842243066063,0.3557093975756826,1–2,2,Gana South Korea,True,False,,Signo acertado
3,WC-2026-007,2026-06-12,Grupos,Canada,Bosnia & Herzegovina,Canada — Bosnia & Herzegovina,0–1,2,Gana Bosnia & Herzegovina,0.208841597967387,0.3267771384481962,0.4643812635844168,1–1,X,Empate,False,False,,Signo fallado
4,WC-2026-019,2026-06-12,Grupos,United States,Paraguay,United States — Paraguay,0–0,X,Empate,0.2677485924273441,0.4310087340875943,0.3012426734850616,4–1,1,Gana United States,False,False,,Signo fallado
5,WC-2026-008,2026-06-13,Grupos,Switzerland,Qatar,Switzerland — Qatar,1–0,1,Gana Switzerland,0.4997471409033207,0.314073119391444,0.1861797397052351,1–1,X,Empate,False,False,,Signo fallado
6,WC-2026-013,2026-06-13,Grupos,Brazil,Morocco,Brazil — Morocco,1–0,1,Gana Brazil,0.4901179669662523,0.3482823176545332,0.1615997153792144,1–1,X,Empate,False,False,,Signo fallado
7,WC-2026-014,2026-06-13,Grupos,Haiti,Scotland,Haiti — Scotland,0–1,2,Gana Scotland,0.1581509042791711,0.3467155362347209,0.4951335594861079,0–1,2,Gana Scotland,True,True,,Signo y marcador exacto
8,WC-2026-020,2026-06-13,Grupos,Australia,Turkey,Australia — Turkey,0–1,2,Gana Turkey,0.1640785046678138,0.3135745389920089,0.5223469563401772,2–0,1,Gana Australia,False,False,,Signo fallado
9,WC-2026-025,2026-06-14,Grupos,Curaçao,Germany,Curaçao — Germany,0–2,2,Gana Germany,0.0330029071721975,0.1578080764085634,0.8091890164192389,1–7,2,Gana Germany,True,False,,Signo acertado
10,WC-2026-026,2026-06-14,Grupos,Ivory Coast,Ecuador,Ivory Coast — Ecuador,0–0,2,Gana Ecuador,0.2203594749901313,0.3442567773339881,0.4353837476758807,1–0,1,Gana Ivory Coast,False,False,,Signo fallado
11,WC-2026-031,2026-06-14,Grupos,Japan,Netherlands,Japan — Netherlands,0–1,2,Gana Netherlands,0.0942215984488591,0.2690266683207929,0.636751733230348,2–2,X,Empate,False,False,,Signo fallado
12,WC-2026-032,2026-06-14,Grupos,Sweden,Tunisia,Sweden — Tunisia,0–0,X,Empate,0.3646278483196822,0.4009477090502529,0.234424442630065,5–1,1,Gana Sweden,False,False,,Signo fallado
13,WC-2026-037,2026-06-15,Grupos,Belgium,Egypt,Belgium — Egypt,0–0,1,Gana Belgium,0.429314097634542,0.3721613738127567,0.198524528552701,1–1,X,Empate,False,False,,Signo fallado
